Break (Cursor) : Flexure stress at Break (Cursor),"748.03339",MPa
Modulus (Automatic Young's) : Modulus (Automatic Young's),"29926.08830",MPa
Specimen properties : Support span,"125.00000",mm
Specimen properties : Thickness,"4.14000",mm
Specimen properties : Width,"12.86000",mm
Specimen properties : Specimen label,"3A"

Time,Extension,Load,Flexure stress,Flexure strain (Extension)
(s),(mm),(N),(MPa),(mm/mm)
"0.00000","0.23270","10.02879","8.53116","0.00037"
"0.10000","0.23798","10.05061","8.54972","0.00038"
"0.20000","0.24752","10.86505","9.24254","0.00039"
"0.30000","0.25592","11.55526","9.82968","0.00041"
"0.40000","0.26418","11.63647","9.89876","0.00042"
"0.50000","0.27255","12.26161","10.43055","0.00043"
"0.60000","0.28099","12.80473","10.89256","0.00045"
"0.70000","0.28926","12.96412","11.02815","0.00046"
"0.80000","0.29760","13.26112","11.28079","0.00047"
"0.90000","0.30589","14.27777","12.14563","0.00049"
"1.00000","0.31423","14.43120","12.27615","0.00050"
"1.10000","0.32259","14.85609","12.63759","0.00051"
"1.20000","0.33087","15.52024","13.20255","0.00053"
"1.30000","0.33917","16.00646","13.61617","0.00054"
"1.40000","0.34759","16.42456","13.97183","0.00055"
"1.50000","0.35596","16.95052","14.41925","0.00057"
"1.60000","0.36425","17.44139","14.83682","0.00058"
"1.70000","0.37259","17.88193","15.21157","0.00059"
"1.80000","0.38089","18.18428","15.46877","0.00061"
"1.90000","0.38923","18.27137","15.54285","0.00062"
"2.00000","0.39754","19.40322","16.50568","0.00063"
"2.10000","0.40588","19.63404","16.70203","0.00065"
"2.20000","0.41425","20.28545","17.25616","0.00066"
"2.30000","0.42257","20.41738","17.36839","0.00067"
"2.40000","0.43093","21.02440","17.88476","0.00069"
"2.50000","0.43925","21.33373","18.14790","0.00070"
"2.60000","0.44760","21.80372","18.54771","0.00071"
"2.70000","0.45591","22.52509","19.16136","0.00072"
"2.80000","0.46418","22.72674","19.33289","0.00074"
"2.90000","0.47254","23.27194","19.79668","0.00075"
"3.00000","0.48092","23.72341","20.18073","0.00076"
"3.10000","0.48922","24.58125","20.91046","0.00078"
"3.20000","0.49756","24.62706","20.94943","0.00079"
"3.30000","0.50591","25.01884","21.28270","0.00080"
"3.40000","0.51425","25.31934","21.53833","0.00082"
"3.50000","0.52261","26.09730","22.20011","0.00083"
"3.60000","0.53085","26.46785","22.51533","0.00084"
"3.70000","0.53917","27.03056","22.99401","0.00086"
"3.80000","0.54758","27.45198","23.35249","0.00087"
"3.90000","0.55590","27.93755","23.76555","0.00088"
"4.00000","0.56424","28.45191","24.20310","0.00090"
"4.10000","0.57259","29.04585","24.70835","0.00091"
"4.20000","0.58090","29.11446","24.76671","0.00092"
"4.30000","0.58924","30.15895","25.65522","0.00094"
"4.40000","0.59757","30.45348","25.90577","0.00095"
"4.50000","0.60585","30.94141","26.32084","0.00096"
"4.60000","0.61421","31.52269","26.81532","0.00098"
"4.70000","0.62252","31.87896","27.11838","0.00099"
"4.80000","0.63088","32.41652","27.57566","0.00100"
"4.90000","0.63930","32.51345","27.65812","0.00102"
"5.00000","0.64763","33.23103","28.26854","0.00103"
"5.10000","0.65591","33.31538","28.34029","0.00104"
"5.20000","0.66421","34.21976","29.10962","0.00106"
"5.30000","0.67255","34.60282","29.43548","0.00107"
"5.40000","0.68090","35.11765","29.87342","0.00108"
"5.50000","0.68922","35.53609","30.22938","0.00110"
"5.60000","0.69750","35.85689","30.50227","0.00111"
"5.70000","0.70593","36.78607","31.29270","0.00112"
"5.80000","0.71430","36.75000","31.26201","0.00114"
"5.90000","0.72260","37.42693","31.83785","0.00115"
"6.00000","0.73093","37.97593","32.30487","0.00116"
"6.10000","0.73920","38.44852","32.70689","0.00118"
"6.20000","0.74754","38.73170","32.94778","0.00119"
"6.30000","0.75586","39.33762","33.46321","0.00120"
"6.40000","0.76419","39.59871","33.68532","0.00121"
"6.50000","0.77256","40.20782","34.20347","0.00123"
"6.60000","0.78096","40.51450","34.46435","0.00124"
"6.70000","0.78925","41.20694","35.05339","0.00125"
"6.80000","0.79762","41.35160","35.17644","0.00127"
"6.90000","0.80597","42.15822","35.86261","0.00128"
"7.00000","0.81419","42.59871","36.23732","0.00129"
"7.10000","0.82252","42.79205","36.40179","0.00131"
"7.20000","0.83085","43.45255","36.96365","0.00132"
"7.30000","0.83919","43.89743","37.34209","0.00133"
"7.40000","0.84761","44.49451","37.85001","0.00135"
"7.50000","0.85595","44.91826","38.21048","0.00136"
"7.60000","0.86425","45.54199","38.74107","0.00137"
"7.70000","0.87264","45.38958","38.61142","0.00139"
"7.80000","0.88095","46.35251","39.43055","0.00140"
"7.90000","0.88914","46.59375","39.63577","0.00141"
"8.00000","0.89751","47.41933","40.33806","0.00143"
"8.10000","0.90588","47.69516","40.57270","0.00144"
"8.20000","0.91422","48.05765","40.88106","0.00145"
"8.30000","0.92259","48.71039","41.43632","0.00147"
"8.40000","0.93091","49.14622","41.80708","0.00148"
"8.50000","0.93928","49.43015","42.04860","0.00149"
"8.60000","0.94765","49.83406","42.39219","0.00151"
"8.70000","0.95588","50.32585","42.81054","0.00152"
"8.80000","0.96421","51.08927","43.45996","0.00153"
"8.90000","0.97255","51.59575","43.89080","0.00155"
"9.00000","0.98081","52.05529","44.28172","0.00156"
"9.10000","0.98919","52.35962","44.54060","0.00157"
"9.20000","0.99761","53.07129","45.14599","0.00159"
"9.30000","1.00594","53.31624","45.35437","0.00160"
"9.40000","1.01429","53.73622","45.71163","0.00161"
"9.50000","1.02257","54.39091","46.26856","0.00163"
"9.60000","1.03089","54.69685","46.52881","0.00164"
"9.70000","1.03923","55.19603","46.95345","0.00165"
"9.80000","1.04754","55.46279","47.18037","0.00167"
"9.90000","1.05582","56.20070","47.80809","0.00168"
"10.00000","1.06420","56.76253","48.28601","0.00169"
"10.10000","1.07260","56.99706","48.48552","0.00171"
"10.20000","1.08094","57.67971","49.06623","0.00172"
"10.30000","1.08925","58.22015","49.52596","0.00173"
"10.40000","1.09760","58.36554","49.64964","0.00174"
"10.50000","1.10594","59.06887","50.24794","0.00176"
"10.60000","1.11422","59.28000","50.42754","0.00177"
"10.70000","1.12254","59.72422","50.80542","0.00178"
"10.80000","1.13085","60.26073","51.26181","0.00180"
"10.90000","1.13923","60.98692","51.87956","0.00181"
"11.00000","1.14760","61.41292","52.24195","0.00182"
"11.10000","1.15591","62.08675","52.81515","0.00184"
"11.20000","1.16428","62.24743","52.95184","0.00185"
"11.30000","1.17261","62.44558","53.12040","0.00186"
"11.40000","1.18089","63.27979","53.83003","0.00188"
"11.50000","1.18919","63.78574","54.26043","0.00189"
"11.60000","1.19757","64.03627","54.47355","0.00190"
"11.70000","1.20589","64.79262","55.11694","0.00192"
"11.80000","1.21423","65.18158","55.44782","0.00193"
"11.90000","1.22253","65.69073","55.88094","0.00194"
"12.00000","1.23093","66.19482","56.30975","0.00196"
"12.10000","1.23931","66.72501","56.76077","0.00197"
"12.20000","1.24753","66.80856","56.83184","0.00198"
"12.30000","1.25587","67.48303","57.40559","0.00200"
"12.40000","1.26424","68.15591","57.97798","0.00201"
"12.50000","1.27255","68.44677","58.22541","0.00202"
"12.60000","1.28091","68.71889","58.45690","0.00204"
"12.70000","1.28921","69.27667","58.93138","0.00205"
"12.80000","1.29757","69.86426","59.43122","0.00206"
"12.90000","1.30594","70.09637","59.62867","0.00208"
"13.00000","1.31424","70.76209","60.19498","0.00209"
"13.10000","1.32252","71.18632","60.55585","0.00210"
"13.20000","1.33090","71.86221","61.13082","0.00212"
"13.30000","1.33916","72.41759","61.60326","0.00213"
"13.40000","1.34755","72.71503","61.85628","0.00214"
"13.50000","1.35596","73.03084","62.12493","0.00216"
"13.60000","1.36424","73.46483","62.49411","0.00217"
"13.70000","1.37264","74.20334","63.12233","0.00218"
"13.80000","1.38092","74.71563","63.55812","0.00220"
"13.90000","1.38917","74.88106","63.69885","0.00221"
"14.00000","1.39760","75.75114","64.43900","0.00222"
"14.10000","1.40588","76.31184","64.91596","0.00224"
"14.20000","1.41414","76.49687","65.07336","0.00225"
"14.30000","1.42257","77.21027","65.68023","0.00226"
"14.40000","1.43094","77.39617","65.83837","0.00227"
"14.50000","1.43929","77.76760","66.15434","0.00229"
"14.60000","1.44763","78.23236","66.54969","0.00230"
"14.70000","1.45588","78.57091","66.83768","0.00231"
"14.80000","1.46423","79.42735","67.56622","0.00233"
"14.90000","1.47257","79.64482","67.75122","0.00234"
"15.00000","1.48079","80.31570","68.32191","0.00235"
"15.10000","1.48917","80.71777","68.66395","0.00237"
"15.20000","1.49760","80.93266","68.84675","0.00238"
"15.30000","1.50591","81.54697","69.36932","0.00239"
"15.40000","1.51427","82.04780","69.79536","0.00241"
"15.50000","1.52265","82.49227","70.17345","0.00242"
"15.60000","1.53090","83.15263","70.73521","0.00243"
"15.70000","1.53922","83.44277","70.98202","0.00245"
"15.80000","1.54752","84.07030","71.51583","0.00246"
"15.90000","1.55583","84.27538","71.69029","0.00247"
"16.00000","1.56422","84.84773","72.17717","0.00249"
"16.10000","1.57258","85.42294","72.66647","0.00250"
"16.20000","1.58089","85.60023","72.81729","0.00251"
"16.30000","1.58929","86.36758","73.47005","0.00253"
"16.40000","1.59767","86.55777","73.63184","0.00254"
"16.50000","1.60588","87.27909","74.24545","0.00255"
"16.60000","1.61419","87.74385","74.64080","0.00257"
"16.70000","1.62251","88.16354","74.99781","0.00258"
"16.80000","1.63087","88.75283","75.49911","0.00259"
"16.90000","1.63923","88.88420","75.61086","0.00261"
"17.00000","1.64757","89.65092","76.26308","0.00262"
"17.10000","1.65594","89.97827","76.54155","0.00263"
"17.20000","1.66431","90.61134","77.08009","0.00265"
"17.30000","1.67263","91.24068","77.61543","0.00266"
"17.40000","1.68090","91.30900","77.67355","0.00267"
"17.50000","1.68922","92.06075","78.31305","0.00269"
"17.60000","1.69753","92.18393","78.41783","0.00270"
"17.70000","1.70583","92.76004","78.90791","0.00271"
"17.80000","1.71421","93.45095","79.49564","0.00273"
"17.90000","1.72259","93.57242","79.59897","0.00274"
"18.00000","1.73094","94.26997","80.19236","0.00275"
"18.10000","1.73926","94.41413","80.31499","0.00277"
"18.20000","1.74761","95.15189","80.94258","0.00278"
"18.30000","1.75592","95.67270","81.38561","0.00279"
"18.40000","1.76424","96.12159","81.76747","0.00280"
"18.50000","1.77252","96.48328","82.07515","0.00282"
"18.60000","1.78079","96.85017","82.38725","0.00283"
"18.70000","1.78923","97.64412","83.06264","0.00284"
"18.80000","1.79761","97.61097","83.03443","0.00286"
"18.90000","1.80591","98.40426","83.70926","0.00287"
"19.00000","1.81426","98.70707","83.96685","0.00288"
"19.10000","1.82260","99.30160","84.47260","0.00290"
"19.20000","1.83092","100.05865","85.11659","0.00291"
"19.30000","1.83922","100.15209","85.19608","0.00292"
"19.40000","1.84750","101.06009","85.96848","0.00294"
"19.50000","1.85586","101.33320","86.20081","0.00295"
"19.60000","1.86424","101.31014","86.18120","0.00296"
"19.70000","1.87256","102.13053","86.87907","0.00298"
"19.80000","1.88095","102.63429","87.30761","0.00299"
"19.90000","1.88929","103.20783","87.79550","0.00300"
"20.00000","1.89758","103.44081","87.99369","0.00302"
"20.10000","1.90589","103.89027","88.37602","0.00303"
"20.20000","1.91422","104.36983","88.78398","0.00304"
"20.30000","1.92254","104.93939","89.26848","0.00306"
"20.40000","1.93091","105.41991","89.67725","0.00307"
"20.50000","1.93916","105.60163","89.83183","0.00308"
"20.60000","1.94758","106.43568","90.54133","0.00310"
"20.70000","1.95599","106.80495","90.85545","0.00311"
"20.80000","1.96422","107.42995","91.38712","0.00312"
"20.90000","1.97255","107.68365","91.60294","0.00314"
"21.00000","1.98090","107.99254","91.86569","0.00315"
"21.10000","1.98921","108.38435","92.19900","0.00316"
"21.20000","1.99758","108.85271","92.59742","0.00318"
"21.30000","2.00589","109.61710","93.24765","0.00319"
"21.40000","2.01419","110.00377","93.57658","0.00320"
"21.50000","2.02261","110.40942","93.92165","0.00322"
"21.60000","2.03093","110.49696","93.99612","0.00323"
"21.70000","2.03922","111.64662","94.97410","0.00324"
"21.80000","2.04756","111.76205","95.07229","0.00326"
"21.90000","2.05586","112.43604","95.64563","0.00327"
"22.00000","2.06423","112.61155","95.79493","0.00328"
"22.10000","2.07257","113.35678","96.42888","0.00329"
"22.20000","2.08089","113.69422","96.71593","0.00331"
"22.30000","2.08929","114.25611","97.19391","0.00332"
"22.40000","2.09760","114.53717","97.43300","0.00333"
"22.50000","2.10590","115.21882","98.01285","0.00335"
"22.60000","2.11425","115.68964","98.41336","0.00336"
"22.70000","2.12259","116.01528","98.69038","0.00337"
"22.80000","2.13082","116.36075","98.98425","0.00339"
"22.90000","2.13918","117.38155","99.85262","0.00340"
"23.00000","2.14758","117.40549","99.87298","0.00341"
"23.10000","2.15598","118.01637","100.39263","0.00343"
"23.20000","2.16426","118.49171","100.79699","0.00344"
"23.30000","2.17258","118.85311","101.10442","0.00345"
"23.40000","2.18091","119.37971","101.55239","0.00347"
"23.50000","2.18924","119.90212","101.99678","0.00348"
"23.60000","2.19755","120.08522","102.15254","0.00349"
"23.70000","2.20584","120.81031","102.76935","0.00351"
"23.80000","2.21419","121.02757","102.95416","0.00352"
"23.90000","2.22260","121.50417","103.35959","0.00353"
"24.00000","2.23091","122.29465","104.03203","0.00355"
"24.10000","2.23929","122.45498","104.16841","0.00356"
"24.20000","2.24763","122.88440","104.53371","0.00357"
"24.30000","2.25591","123.01185","104.64213","0.00359"
"24.40000","2.26419","123.76846","105.28574","0.00360"
"24.50000","2.27254","124.63953","106.02674","0.00361"
"24.60000","2.28084","124.84350","106.20025","0.00363"
"24.70000","2.28922","125.48800","106.74850","0.00364"
"24.80000","2.29756","125.84359","107.05099","0.00365"
"24.90000","2.30591","126.21960","107.37086","0.00367"
"25.00000","2.31431","126.44223","107.56023","0.00368"
"25.10000","2.32262","127.08134","108.10390","0.00369"
"25.20000","2.33088","127.31623","108.30372","0.00371"
"25.30000","2.33920","127.90434","108.80400","0.00372"
"25.40000","2.34756","128.42039","109.24300","0.00373"
"25.50000","2.35587","128.80894","109.57352","0.00375"
"25.60000","2.36420","129.19127","109.89875","0.00376"
"25.70000","2.37254","129.52708","110.18442","0.00377"
"25.80000","2.38095","130.25948","110.80744","0.00379"
"25.90000","2.38933","130.93727","111.38402","0.00380"
"26.00000","2.39759","131.18138","111.59167","0.00381"
