Time,Extension,Load
(s),(mm),(N)
"0.00000","2.08520","25.71837"
"0.10000","2.10844","30.39873"
"0.20000","2.15933","39.10033"
"0.30000","2.20968","46.71508"
"0.40000","2.25987","54.05473"
"0.50000","2.30979","61.45840"
"0.60000","2.35969","68.56585"
"0.70000","2.40971","75.81261"
"0.80000","2.45973","83.10595"
"0.90000","2.50983","90.43839"
"1.00000","2.55983","97.94167"
"1.10000","2.60977","105.11631"
"1.20000","2.65976","112.42525"
"1.30000","2.70976","119.55782"
"1.40000","2.75976","126.90297"
"1.50000","2.80976","134.08913"
"1.60000","2.85982","141.49692"
"1.70000","2.90985","148.75764"
"1.80000","2.95976","156.13919"
"1.90000","3.00971","163.67604"
"2.00000","3.05973","170.97096"
"2.10000","3.10985","178.49905"
"2.20000","3.15991","185.98204"
"2.30000","3.20976","193.41025"
"2.40000","3.25970","200.85327"
"2.50000","3.30978","208.32732"
"2.60000","3.35975","215.74802"
"2.70000","3.40984","223.38351"
"2.80000","3.45989","230.97906"
"2.90000","3.50982","238.60519"
"3.00000","3.55972","246.09155"
"3.10000","3.60974","253.72217"
"3.20000","3.65982","261.29355"
"3.30000","3.70990","268.97467"
"3.40000","3.75982","276.50061"
"3.50000","3.80974","284.26974"
"3.60000","3.85973","291.94562"
"3.70000","3.90976","299.73087"
"3.80000","3.95982","307.44629"
"3.90000","4.00985","315.19348"
"4.00000","4.05981","323.02710"
"4.10000","4.10976","330.88547"
"4.20000","4.15971","338.64627"
"4.30000","4.20972","346.50482"
"4.40000","4.25982","354.42053"
"4.50000","4.30989","362.19791"
"4.60000","4.35989","370.04279"
"4.70000","4.40974","378.00128"
"4.80000","4.45969","385.89752"
"4.90000","4.50976","393.79242"
"5.00000","4.55985","401.79611"
"5.10000","4.60992","409.65607"
"5.20000","4.65982","417.69147"
"5.30000","4.70974","425.70230"
"5.40000","4.75973","433.58072"
"5.50000","4.80972","441.65500"
"5.60000","4.85986","449.82178"
"5.70000","4.90992","457.81158"
"5.80000","4.95975","466.01617"
"5.90000","5.00968","474.10809"
"6.00000","5.05974","482.38620"
"6.10000","5.10983","490.64987"
"6.20000","5.15987","498.99164"
"6.30000","5.20985","507.28558"
"6.40000","5.25979","515.97931"
"6.50000","5.30974","524.89380"
"6.60000","5.35972","534.02887"
"6.70000","5.40977","543.18610"
"6.80000","5.45983","552.34186"
"6.90000","5.50987","561.44287"
"7.00000","5.55981","570.48212"
"7.10000","5.60973","579.60455"
"7.20000","5.65972","588.81769"
"7.30000","5.70974","597.92206"
"7.40000","5.75984","607.13611"
"7.50000","5.80987","616.35339"
"7.60000","5.85980","625.61908"
"7.70000","5.90973","634.71503"
"7.80000","5.95971","643.97351"
"7.90000","6.00975","653.05811"
"8.00000","6.05987","662.39508"
"8.10000","6.10989","671.78363"
"8.20000","6.15978","680.95929"
"8.30000","6.20971","690.09143"
"8.40000","6.25970","699.43787"
"8.50000","6.30986","708.65729"
"8.60000","6.35989","718.20386"
"8.70000","6.40979","727.43604"
"8.80000","6.45975","736.67377"
"8.90000","6.50976","745.87109"
"9.00000","6.55974","755.13702"
"9.10000","6.60980","764.57465"
"9.20000","6.65985","773.89276"
"9.30000","6.70985","783.37036"
"9.40000","6.75977","792.80933"
"9.50000","6.80974","802.11963"
"9.60000","6.85974","811.67828"
"9.70000","6.90981","821.05994"
"9.80000","6.95986","830.47955"
"9.90000","7.00984","840.16772"
"10.00000","7.05974","849.63318"
"10.10000","7.10970","859.37457"
"10.20000","7.15979","869.06927"
"10.30000","7.20984","878.78595"
"10.40000","7.25992","888.42249"
"10.50000","7.30982","898.13910"
"10.60000","7.35968","907.83545"
"10.70000","7.40972","917.50146"
"10.80000","7.45977","927.28485"
"10.90000","7.50989","937.23962"
"11.00000","7.55990","946.88892"
"11.10000","7.60977","956.69025"
"11.20000","7.65969","966.36890"
"11.30000","7.70970","976.09656"
"11.40000","7.75985","985.84985"
"11.50000","7.80989","995.59662"
"11.54700","7.83320","1000.01685"
