Time,Extension,Load
(s),(mm),(N)
"0.00000","2.08068","26.43059"
"0.10000","2.10411","30.99043"
"0.20000","2.15486","39.60179"
"0.30000","2.20526","47.27296"
"0.40000","2.25537","54.45055"
"0.50000","2.30528","61.69675"
"0.60000","2.35518","68.88655"
"0.70000","2.40522","76.19617"
"0.80000","2.45529","83.54840"
"0.90000","2.50536","90.92947"
"1.00000","2.55532","98.21238"
"1.10000","2.60526","105.42688"
"1.20000","2.65526","112.61528"
"1.30000","2.70528","119.91606"
"1.40000","2.75532","127.14899"
"1.50000","2.80531","134.40022"
"1.60000","2.85532","141.67625"
"1.70000","2.90533","148.99788"
"1.80000","2.95526","156.30983"
"1.90000","3.00523","163.58031"
"2.00000","3.05529","171.08243"
"2.10000","3.10539","178.52460"
"2.20000","3.15542","185.83691"
"2.30000","3.20527","193.37137"
"2.40000","3.25522","200.74481"
"2.50000","3.30527","208.20937"
"2.60000","3.35530","215.76953"
"2.70000","3.40537","223.27206"
"2.80000","3.45539","230.70018"
"2.90000","3.50530","238.39972"
"3.00000","3.55522","245.89328"
"3.10000","3.60528","253.47070"
"3.20000","3.65537","260.98672"
"3.30000","3.70541","268.73062"
"3.40000","3.75532","276.36200"
"3.50000","3.80523","283.94543"
"3.60000","3.85522","291.60074"
"3.70000","3.90532","299.43729"
"3.80000","3.95538","307.12482"
"3.90000","4.00537","314.89722"
"4.00000","4.05531","322.69449"
"4.10000","4.10524","330.41940"
"4.20000","4.15523","338.38675"
"4.30000","4.20529","346.08847"
"4.40000","4.25534","354.09457"
"4.50000","4.30539","361.90067"
"4.60000","4.35535","369.73444"
"4.70000","4.40523","377.57996"
"4.80000","4.45522","385.46396"
"4.90000","4.50531","393.38828"
"5.00000","4.55539","401.41098"
"5.10000","4.60543","409.39902"
"5.20000","4.65529","417.40201"
"5.30000","4.70522","425.23950"
"5.40000","4.75526","433.27179"
"5.50000","4.80529","441.29202"
"5.60000","4.85540","449.41684"
"5.70000","4.90542","457.50183"
"5.80000","4.95525","465.50085"
"5.90000","5.00517","473.74246"
"6.00000","5.05525","481.99069"
"6.10000","5.10539","490.32718"
"6.20000","5.15541","498.64151"
"6.30000","5.20536","506.93121"
"6.40000","5.25524","515.59314"
"6.50000","5.30523","524.55676"
"6.60000","5.35529","533.72400"
"6.70000","5.40533","542.82794"
"6.80000","5.45535","552.03101"
"6.90000","5.50536","561.05035"
"7.00000","5.55530","570.23779"
"7.10000","5.60525","579.24939"
"7.20000","5.65528","588.48706"
"7.30000","5.70530","597.80811"
"7.40000","5.75536","606.80646"
"7.50000","5.80536","615.96570"
"7.60000","5.85527","625.19165"
"7.70000","5.90523","634.27441"
"7.80000","5.95527","643.51196"
"7.90000","6.00533","652.78809"
"8.00000","6.05540","662.06244"
"8.10000","6.10537","671.30652"
"8.20000","6.15528","680.65027"
"8.30000","6.20523","689.77698"
"8.40000","6.25524","699.13257"
"8.50000","6.30539","708.34167"
"8.60000","6.35541","717.65033"
"8.70000","6.40530","727.03955"
"8.80000","6.45523","736.19415"
"8.90000","6.50527","745.45911"
"9.00000","6.55531","754.73242"
"9.10000","6.60533","764.14758"
"9.20000","6.65535","773.47162"
"9.30000","6.70533","782.96063"
"9.40000","6.75527","792.30841"
"9.50000","6.80526","801.83392"
"9.60000","6.85530","811.05011"
"9.70000","6.90534","820.54156"
"9.80000","6.95537","830.01807"
"9.90000","7.00531","839.55286"
"10.00000","7.05523","849.16931"
"10.10000","7.10524","858.82202"
"10.20000","7.15533","868.37811"
"10.30000","7.20537","878.13782"
"10.40000","7.25541","887.84686"
"10.50000","7.30529","897.44525"
"10.60000","7.35519","907.07837"
"10.70000","7.40525","916.84607"
"10.80000","7.45532","926.67554"
"10.90000","7.50541","936.42676"
"11.00000","7.55540","946.16565"
"11.10000","7.60527","956.00085"
"11.20000","7.65519","965.60846"
"11.30000","7.70524","975.31696"
"11.40000","7.75540","985.13654"
"11.50000","7.80542","994.63489"
"11.55500","7.83272","1000.07227"
