Time,Extension,Load
(s),(mm),(N)
"0.00000","2.02738","26.96637"
"0.10000","2.05073","31.55376"
"0.20000","2.10156","39.70961"
"0.30000","2.15193","47.21635"
"0.40000","2.20209","54.56334"
"0.50000","2.25210","61.70984"
"0.60000","2.30198","69.09735"
"0.70000","2.35190","76.23515"
"0.80000","2.40200","83.55293"
"0.90000","2.45206","90.81533"
"1.00000","2.50211","98.12257"
"1.10000","2.55204","105.49696"
"1.20000","2.60196","112.41595"
"1.30000","2.65199","119.62851"
"1.40000","2.70203","126.76627"
"1.50000","2.75209","133.96063"
"1.60000","2.80206","141.24930"
"1.70000","2.85204","148.36301"
"1.80000","2.90203","155.70490"
"1.90000","2.95200","162.92555"
"2.00000","3.00199","170.11888"
"2.10000","3.05206","177.65491"
"2.20000","3.10212","184.81496"
"2.30000","3.15210","192.31013"
"2.40000","3.20197","199.67044"
"2.50000","3.25197","207.08437"
"2.60000","3.30204","214.50603"
"2.70000","3.35206","221.94077"
"2.80000","3.40210","229.43628"
"2.90000","3.45210","236.87733"
"3.00000","3.50200","244.53134"
"3.10000","3.55194","251.82854"
"3.20000","3.60205","259.51535"
"3.30000","3.65213","267.06256"
"3.40000","3.70212","274.68454"
"3.50000","3.75204","282.19705"
"3.60000","3.80195","289.83817"
"3.70000","3.85196","297.54642"
"3.80000","3.90208","305.21817"
"3.90000","3.95213","313.12521"
"4.00000","4.00209","320.83463"
"4.10000","4.05204","328.52994"
"4.20000","4.10195","336.23929"
"4.30000","4.15197","344.08713"
"4.40000","4.20205","351.94131"
"4.50000","4.25209","359.83646"
"4.60000","4.30213","367.71707"
"4.70000","4.35205","375.50327"
"4.80000","4.40197","383.42828"
"4.90000","4.45198","391.35431"
"5.00000","4.50206","399.37799"
"5.10000","4.55215","407.20102"
"5.20000","4.60215","415.27524"
"5.30000","4.65201","423.27097"
"5.40000","4.70197","431.14178"
"5.50000","4.75200","439.10089"
"5.60000","4.80204","447.25528"
"5.70000","4.85214","455.32718"
"5.80000","4.90214","463.50491"
"5.90000","4.95196","471.59213"
"6.00000","5.00191","479.72714"
"6.10000","5.05200","488.07492"
"6.20000","5.10214","496.36359"
"6.30000","5.15215","504.67508"
"6.40000","5.20207","513.05286"
"6.50000","5.25196","521.90955"
"6.60000","5.30196","531.01910"
"6.70000","5.35206","540.14740"
"6.80000","5.40208","549.21967"
"6.90000","5.45208","558.38062"
"7.00000","5.50208","567.46490"
"7.10000","5.55200","576.55292"
"7.20000","5.60199","585.71759"
"7.30000","5.65206","594.70477"
"7.40000","5.70206","603.85785"
"7.50000","5.75208","613.10724"
"7.60000","5.80206","622.11975"
"7.70000","5.85197","631.34772"
"7.80000","5.90197","640.44183"
"7.90000","5.95205","649.64160"
"8.00000","6.00208","658.83582"
"8.10000","6.05211","668.18140"
"8.20000","6.10206","677.41199"
"8.30000","6.15200","686.53815"
"8.40000","6.20197","695.69592"
"8.50000","6.25202","705.02942"
"8.60000","6.30215","714.30096"
"8.70000","6.35214","723.68054"
"8.80000","6.40201","732.74023"
"8.90000","6.45195","742.02924"
"9.00000","6.50202","751.16034"
"9.10000","6.55208","760.62341"
"9.20000","6.60208","769.87292"
"9.30000","6.65207","779.27417"
"9.40000","6.70204","788.66791"
"9.50000","6.75198","797.85205"
"9.60000","6.80200","807.27600"
"9.70000","6.85206","816.70190"
"9.80000","6.90208","825.96838"
"9.90000","6.95212","835.41229"
"10.00000","7.00203","844.95953"
"10.10000","7.05194","854.45673"
"10.20000","7.10200","863.97437"
"10.30000","7.15208","873.70789"
"10.40000","7.20211","883.22198"
"10.50000","7.25214","892.77307"
"10.60000","7.30201","902.33832"
"10.70000","7.35191","912.17987"
"10.80000","7.40200","921.78229"
"10.90000","7.45209","931.60419"
"11.00000","7.50215","941.34064"
"11.10000","7.55212","950.85382"
"11.20000","7.60197","960.64575"
"11.30000","7.65191","970.20911"
"11.40000","7.70199","979.81860"
"11.50000","7.75217","989.34442"
"11.60000","7.80215","999.08069"
"11.61000","7.80714","1000.05695"
