Time,Extension,Load
(s),(mm),(N)
"0.00000","0.17815","10.44510"
"0.10000","0.26902","15.14764"
"0.20000","0.26820","15.98232"
"0.30000","0.29364","19.28543"
"0.40000","0.31886","21.97894"
"0.50000","0.34377","24.16737"
"0.60000","0.36902","26.52497"
"0.70000","0.39381","28.64985"
"0.80000","0.41893","30.97315"
"0.90000","0.44389","33.36270"
"1.00000","0.46879","35.54159"
"1.10000","0.49398","37.84272"
"1.20000","0.51880","40.27192"
"1.30000","0.54394","42.71019"
"1.40000","0.56886","45.09841"
"1.50000","0.59383","47.34575"
"1.60000","0.61894","49.72408"
"1.70000","0.64381","52.21672"
"1.80000","0.66897","54.45848"
"1.90000","0.69380","56.85073"
"2.00000","0.71887","59.23544"
"2.10000","0.74388","61.42763"
"2.20000","0.76883","63.87492"
"2.30000","0.79402","66.32298"
"2.40000","0.81882","68.57799"
"2.50000","0.84393","70.97931"
"2.60000","0.86884","73.31662"
"2.70000","0.89383","75.65232"
"2.80000","0.91895","78.03211"
"2.90000","0.94382","80.34756"
"3.00000","0.96896","82.72041"
"3.10000","0.99382","85.06850"
"3.20000","1.01887","87.49667"
"3.30000","1.04393","89.84049"
"3.40000","1.06881","92.14307"
"3.50000","1.09401","94.50512"
"3.60000","1.11879","96.87085"
"3.70000","1.14390","99.19981"
"3.80000","1.16887","101.52782"
"3.90000","1.19381","103.93446"
"4.00000","1.21900","106.26427"
"4.10000","1.24380","108.59126"
"4.20000","1.26897","111.01409"
"4.30000","1.29383","113.35876"
"4.40000","1.31884","115.54935"
"4.50000","1.34393","117.96172"
"4.60000","1.36877","120.21343"
"4.70000","1.39398","122.57177"
"4.80000","1.41881","124.98506"
"4.90000","1.44395","127.27105"
"5.00000","1.46886","129.55202"
"5.10000","1.49383","131.79224"
"5.20000","1.51902","134.13603"
"5.30000","1.54380","136.61414"
"5.40000","1.56895","138.74622"
"5.50000","1.59385","141.05122"
"5.60000","1.61883","143.37689"
"5.70000","1.64395","145.71306"
"5.80000","1.66880","148.09473"
"5.90000","1.69398","150.32645"
"6.00000","1.71879","152.58495"
"6.10000","1.74391","154.90494"
"6.20000","1.76892","157.18579"
"6.30000","1.79385","159.49001"
"6.40000","1.81899","161.74762"
"6.50000","1.84383","164.09030"
"6.60000","1.86890","166.36905"
"6.70000","1.89383","168.57518"
"6.80000","1.91880","170.88638"
"6.90000","1.94394","173.29311"
"7.00000","1.96883","175.47301"
"7.10000","1.99402","177.83449"
"7.20000","2.01883","180.06096"
"7.30000","2.04389","182.36647"
"7.40000","2.06894","184.65457"
"7.50000","2.09380","186.91202"
"7.60000","2.11898","189.21388"
"7.70000","2.14377","191.55127"
"7.80000","2.16891","193.73698"
"7.90000","2.19386","195.98361"
"8.00000","2.21884","198.34468"
"8.10000","2.24402","200.51143"
