Time,Extension,Load
(s),(mm),(N)
"0.00000","0.23147","10.39112"
"0.10000","0.32263","14.88674"
"0.20000","0.32188","15.75210"
"0.30000","0.34738","19.11423"
"0.40000","0.37257","21.63154"
"0.50000","0.39763","23.95343"
"0.60000","0.42252","26.17953"
"0.70000","0.44771","28.47202"
"0.80000","0.47254","30.76828"
"0.90000","0.49767","33.12635"
"1.00000","0.52266","35.65697"
"1.10000","0.54754","37.79976"
"1.20000","0.57270","40.17273"
"1.30000","0.59755","42.66516"
"1.40000","0.62268","44.91550"
"1.50000","0.64758","47.25135"
"1.60000","0.67257","49.52772"
"1.70000","0.69770","51.89723"
"1.80000","0.72250","54.23776"
"1.90000","0.74773","56.62318"
"2.00000","0.77258","58.89544"
"2.10000","0.79762","61.28957"
"2.20000","0.82266","63.62960"
"2.30000","0.84752","66.07087"
"2.40000","0.87271","68.34025"
"2.50000","0.89754","70.74249"
"2.60000","0.92270","73.02378"
"2.70000","0.94763","75.33939"
"2.80000","0.97258","77.69917"
"2.90000","0.99772","80.08454"
"3.00000","1.02254","82.46119"
"3.10000","1.04771","84.74643"
"3.20000","1.07260","87.12995"
"3.30000","1.09761","89.44491"
"3.40000","1.12264","91.79330"
"3.50000","1.14753","94.09980"
"3.60000","1.17276","96.52256"
"3.70000","1.19753","98.92551"
"3.80000","1.22269","101.25375"
"3.90000","1.24762","103.50024"
"4.00000","1.27255","105.90993"
"4.10000","1.29770","108.32301"
"4.20000","1.32253","110.49313"
"4.30000","1.34772","112.93803"
"4.40000","1.37258","115.09992"
"4.50000","1.39761","117.47901"
"4.60000","1.42269","119.85824"
"4.70000","1.44754","122.08908"
"4.80000","1.47273","124.45770"
"4.90000","1.49756","126.72740"
"5.00000","1.52263","128.97618"
"5.10000","1.54763","131.38812"
"5.20000","1.57255","133.68829"
"5.30000","1.59775","135.93126"
"5.40000","1.62254","138.20567"
"5.50000","1.64774","140.49768"
"5.60000","1.67259","142.90536"
"5.70000","1.69759","145.04884"
"5.80000","1.72270","147.37184"
"5.90000","1.74753","149.69463"
"6.00000","1.77272","151.99911"
"6.10000","1.79756","154.32181"
"6.20000","1.82264","156.69377"
"6.30000","1.84763","158.83763"
"6.40000","1.87256","161.23874"
"6.50000","1.89775","163.46591"
"6.60000","1.92254","165.84541"
