Time,Extension,Load
(s),(mm),(N)
"0.00000","0.28128","10.35232"
"0.10000","0.37073","15.45606"
"0.20000","0.37064","16.12907"
"0.30000","0.39610","20.14635"
"0.40000","0.42142","22.49308"
"0.50000","0.44640","24.68491"
"0.60000","0.47133","27.09470"
"0.70000","0.49650","29.30396"
"0.80000","0.52135","31.68694"
"0.90000","0.54652","34.15378"
"1.00000","0.57137","36.47615"
"1.10000","0.59640","38.84428"
"1.20000","0.62147","41.27828"
"1.30000","0.64635","43.57700"
"1.40000","0.67150","45.89951"
"1.50000","0.69631","48.32151"
"1.60000","0.72145","50.73587"
"1.70000","0.74639","53.10689"
"1.80000","0.77140","55.45931"
"1.90000","0.79654","57.86637"
"2.00000","0.82135","60.25755"
"2.10000","0.84649","62.57952"
"2.20000","0.87137","64.99516"
"2.30000","0.89639","67.27530"
"2.40000","0.92148","69.72768"
"2.50000","0.94635","72.09836"
"2.60000","0.97151","74.51793"
"2.70000","0.99634","76.82310"
"2.80000","1.02147","79.24326"
"2.90000","1.04641","81.49387"
"3.00000","1.07136","83.93408"
"3.10000","1.09654","86.31102"
"3.20000","1.12133","88.56156"
"3.30000","1.14647","90.98118"
"3.40000","1.17140","93.33360"
"3.50000","1.19638","95.76781"
"3.60000","1.22152","98.11597"
"3.70000","1.24633","100.52502"
"3.80000","1.27152","102.90529"
"3.90000","1.29636","105.26125"
"4.00000","1.32141","107.61272"
"4.10000","1.34645","109.94888"
"4.20000","1.37130","112.17532"
"4.30000","1.39652","114.71790"
"4.40000","1.42133","117.01185"
"4.50000","1.44652","119.26320"
"4.60000","1.47139","121.61364"
"4.70000","1.49640","123.95729"
"4.80000","1.52152","126.31454"
"4.90000","1.54633","128.84427"
"5.00000","1.57151","131.10478"
"5.10000","1.59637","133.33833"
"5.20000","1.62142","135.68834"
"5.30000","1.64645","138.00336"
"5.40000","1.67132","140.29280"
"5.50000","1.69654","142.49382"
"5.60000","1.72134","144.87384"
"5.70000","1.74649","147.15776"
"5.80000","1.77143","149.47713"
"5.90000","1.79640","151.84076"
"6.00000","1.82152","154.08099"
"6.10000","1.84634","156.42944"
"6.20000","1.87146","158.84958"
"6.30000","1.89634","160.89572"
"6.40000","1.92137","163.25819"
"6.50000","1.94647","165.59259"
"6.60000","1.97137","167.95677"
"6.70000","1.99656","170.17285"
"6.80000","2.02136","172.50081"
"6.90000","2.04646","174.81569"
"7.00000","2.07144","177.06439"
"7.10000","2.09634","179.34384"
"7.20000","2.12150","181.61641"
"7.30000","2.14630","184.02544"
"7.40000","2.17149","186.24167"
"7.50000","2.19637","188.55351"
"7.60000","2.22141","190.84746"
"7.70000","2.24652","193.00633"
"7.80000","2.27132","195.24069"
"7.90000","2.29653","197.51410"
"8.00000","2.32132","199.86832"
"8.10000","2.34643","202.15039"
"8.20000","2.37145","204.43810"
"8.30000","2.39633","206.68712"
"8.40000","2.42155","208.97679"
"8.50000","2.44632","211.13684"
"8.60000","2.47151","213.52269"
"8.70000","2.49641","215.71178"
"8.80000","2.52138","218.03761"
"8.90000","2.54652","220.11140"
"9.00000","2.57132","222.44196"
"9.10000","2.59651","224.76183"
"9.20000","2.62133","226.94420"
"9.30000","2.64643","229.30084"
"9.40000","2.67142","231.40271"
"9.50000","2.69637","233.66557"
"9.60000","2.72154","235.95236"
"9.70000","2.74633","238.19402"
"9.80000","2.77150","240.39101"
"9.90000","2.79638","242.57095"
"10.00000","2.82140","244.78877"
"10.10000","2.84649","247.11801"
"10.20000","2.87133","249.33311"
"10.30000","2.89651","251.56313"
"10.40000","2.92135","253.74388"
"10.50000","2.94640","256.14307"
"10.60000","2.97149","258.21069"
"10.70000","2.99633","260.48419"
"10.80000","3.02155","262.79965"
"10.90000","3.04638","264.91324"
"11.00000","3.07144","267.21188"
"11.10000","3.09641","269.38361"
"11.20000","3.12135","271.54297"
"11.30000","3.14651","273.81689"
"11.40000","3.17132","276.05325"
"11.50000","3.19652","278.25558"
"11.60000","3.22138","280.39572"
"11.70000","3.24639","282.68649"
"11.80000","3.27151","284.92847"
"11.90000","3.29631","287.02209"
"12.00000","3.32151","289.28458"
"12.10000","3.34634","291.44342"
"12.20000","3.37144","293.72287"
"12.30000","3.39642","295.79736"
"12.40000","3.42133","298.17587"
"12.50000","3.44659","300.30005"
"12.60000","3.47131","302.50867"
"12.70000","3.49649","304.68924"
"12.80000","3.52135","306.82507"
