Time,Extension,Load
(s),(mm),(N)
"0.00000","1.95302","23.99830"
"0.10000","1.97596","27.64154"
"0.20000","2.02708","34.64859"
"0.30000","2.07741","41.32716"
"0.40000","2.12757","47.68307"
"0.50000","2.17751","53.97924"
"0.60000","2.22737","60.36263"
"0.70000","2.27739","66.62119"
"0.80000","2.32751","72.84308"
"0.90000","2.37757","79.02312"
"1.00000","2.42755","85.01446"
"1.10000","2.47751","90.88881"
"1.20000","2.52743","96.86312"
"1.30000","2.57743","102.57387"
"1.40000","2.62749","108.52489"
"1.50000","2.67753","114.24005"
"1.60000","2.72759","120.06937"
"1.70000","2.77752","125.92926"
"1.80000","2.82741","131.88303"
"1.90000","2.87746","137.69530"
"2.00000","2.92750","143.54860"
"2.10000","2.97753","149.46788"
"2.20000","3.02759","155.25537"
"2.30000","3.07749","161.31511"
"2.40000","3.12744","167.07689"
"2.50000","3.17746","172.91888"
"2.60000","3.22754","178.88393"
"2.70000","3.27757","184.87141"
"2.80000","3.32754","190.71748"
"2.90000","3.37753","196.70798"
"3.00000","3.42747","202.67146"
"3.10000","3.47748","208.60736"
"3.20000","3.52754","214.50740"
"3.30000","3.57756","220.59015"
"3.40000","3.62756","226.61543"
"3.50000","3.67750","232.55928"
"3.60000","3.72748","238.63536"
"3.70000","3.77749","244.88777"
"3.80000","3.82747","251.01349"
"3.90000","3.87755","257.73932"
"4.00000","3.92761","264.81326"
"4.10000","3.97748","271.70667"
"4.20000","4.02741","278.75006"
"4.30000","4.07745","285.76694"
"4.40000","4.12752","292.64920"
"4.50000","4.17764","299.48465"
"4.60000","4.22755","306.42514"
"4.70000","4.27742","313.25998"
"4.80000","4.32744","320.01395"
"4.90000","4.37749","326.82837"
"5.00000","4.42758","333.74606"
"5.10000","4.47765","340.54547"
"5.20000","4.52750","347.49118"
"5.30000","4.57739","354.31573"
"5.40000","4.62744","361.05603"
"5.50000","4.67751","367.90900"
"5.60000","4.72759","374.63202"
"5.70000","4.77760","381.56607"
"5.80000","4.82749","388.32571"
"5.90000","4.87739","395.16483"
"6.00000","4.92744","402.06686"
"6.10000","4.97754","408.88489"
"6.20000","5.02758","415.68298"
"6.30000","5.07759","422.63684"
"6.40000","5.12750","429.43820"
"6.50000","5.17745","436.29062"
"6.60000","5.22744","443.12067"
"6.70000","5.27749","449.81525"
"6.80000","5.32760","456.61902"
"6.90000","5.37761","463.40982"
"7.00000","5.42746","470.21396"
"7.10000","5.47738","476.93954"
"7.20000","5.52746","483.53104"
"7.30000","5.57753","490.27228"
"7.40000","5.62759","497.02646"
"7.50000","5.67756","503.66766"
"7.60000","5.72744","510.39108"
"7.70000","5.77743","517.06049"
"7.80000","5.82745","523.79901"
"7.90000","5.87754","530.46503"
"8.00000","5.92762","537.25604"
"8.10000","5.97755","544.05066"
"8.20000","6.02747","550.68121"
"8.30000","6.07747","557.39636"
"8.40000","6.12748","564.14886"
"8.50000","6.17754","570.99683"
"8.60000","6.22755","577.66815"
"8.70000","6.27753","584.46014"
"8.80000","6.32750","591.01123"
"8.90000","6.37749","597.71796"
"9.00000","6.42748","604.30194"
"9.10000","6.47746","611.09113"
"9.20000","6.52755","617.84991"
"9.30000","6.57759","624.46429"
"9.40000","6.62749","631.11951"
"9.50000","6.67743","637.79346"
"9.60000","6.72741","644.48944"
"9.70000","6.77757","651.10242"
"9.80000","6.82761","657.71539"
"9.90000","6.87753","664.18341"
"10.00000","6.92742","670.80109"
"10.10000","6.97746","677.20245"
"10.20000","7.02746","683.85297"
"10.30000","7.07757","690.53619"
"10.40000","7.12763","696.90759"
"10.50000","7.17751","703.34052"
"10.60000","7.22743","709.90918"
"10.70000","7.27745","716.34052"
"10.80000","7.32752","722.72064"
"10.90000","7.37760","729.06482"
"11.00000","7.42752","735.44153"
"11.10000","7.47748","741.83240"
"11.20000","7.52749","748.16180"
"11.30000","7.57748","754.57178"
"11.40000","7.62755","760.72540"
"11.50000","7.67757","766.68109"
"11.60000","7.72754","772.47699"
"11.70000","7.77750","778.36267"
"11.80000","7.82741","784.31012"
"11.90000","7.87743","790.25830"
"12.00000","7.92752","796.36670"
"12.10000","7.97761","802.59784"
"12.20000","8.02759","808.80865"
"12.30000","8.07743","815.07385"
"12.40000","8.12740","821.27576"
"12.50000","8.17747","827.43884"
"12.60000","8.22756","833.71167"
"12.70000","8.27764","840.01782"
"12.80000","8.32755","846.28973"
"12.90000","8.37745","852.55103"
"13.00000","8.42743","858.86920"
"13.10000","8.47746","864.94403"
"13.20000","8.52759","871.35120"
"13.30000","8.57762","877.65649"
"13.40000","8.62747","883.76123"
"13.50000","8.67742","890.03455"
"13.60000","8.72746","896.43683"
"13.70000","8.77753","902.63654"
"13.80000","8.82758","908.86646"
"13.90000","8.87757","915.07172"
"14.00000","8.92752","921.27386"
"14.10000","8.97746","927.60138"
"14.20000","9.02745","934.00775"
"14.30000","9.07747","940.22974"
"14.40000","9.12756","946.43451"
"14.50000","9.17759","952.72559"
"14.60000","9.22755","958.92725"
"14.70000","9.27747","965.22467"
"14.80000","9.32744","971.35815"
"14.90000","9.37747","977.69293"
"15.00000","9.42752","983.94324"
"15.10000","9.47761","990.25006"
"15.20000","9.52755","996.41711"
"15.25700","9.55604","1000.01385"
