Time,Extension,Load
(s),(mm),(N)
"0.00000","2.37387","21.39946"
"0.10000","2.39701","24.45857"
"0.20000","2.44789","31.04008"
"0.30000","2.49824","37.34751"
"0.40000","2.54835","43.72369"
"0.50000","2.59828","50.02456"
"0.60000","2.64818","56.41663"
"0.70000","2.69818","62.60900"
"0.80000","2.74835","68.91751"
"0.90000","2.79838","75.17346"
"1.00000","2.84836","81.48304"
"1.10000","2.89831","87.76798"
"1.20000","2.94823","94.03123"
"1.30000","2.99823","100.28306"
"1.40000","3.04833","106.44976"
"1.50000","3.09838","112.81730"
"1.60000","3.14842","118.93911"
"1.70000","3.19835","125.32523"
"1.80000","3.24819","131.53519"
"1.90000","3.29824","137.85283"
"2.00000","3.34834","144.24950"
"2.10000","3.39842","150.52562"
"2.20000","3.44844","156.87163"
"2.30000","3.49829","163.18527"
"2.40000","3.54822","169.72458"
"2.50000","3.59828","175.92957"
"2.60000","3.64833","182.60884"
"2.70000","3.69844","189.16299"
"2.80000","3.74842","195.81693"
"2.90000","3.79824","202.37952"
"3.00000","3.84818","209.09761"
"3.10000","3.89827","215.73387"
"3.20000","3.94842","222.36058"
"3.30000","3.99843","229.00989"
"3.40000","4.04837","235.63237"
"3.50000","4.09825","242.11348"
"3.60000","4.14823","248.87650"
"3.70000","4.19832","255.40599"
"3.80000","4.24836","261.94843"
"3.90000","4.29837","268.60693"
"4.00000","4.34837","275.15219"
"4.10000","4.39829","281.67023"
"4.20000","4.44825","288.18738"
"4.30000","4.49833","294.82043"
"4.40000","4.54835","301.39621"
"4.50000","4.59834","308.05203"
"4.60000","4.64838","314.62900"
"4.70000","4.69827","321.33954"
"4.80000","4.74824","327.96683"
"4.90000","4.79830","334.68140"
"5.00000","4.84833","341.32666"
"5.10000","4.89840","348.02802"
"5.20000","4.94836","354.57669"
"5.30000","4.99829","361.22256"
"5.40000","5.04826","367.98895"
"5.50000","5.09831","374.51294"
"5.60000","5.14840","381.09164"
"5.70000","5.19841","387.71643"
"5.80000","5.24830","394.31998"
"5.90000","5.29826","400.94693"
"6.00000","5.34830","407.47092"
"6.10000","5.39834","414.00623"
"6.20000","5.44835","420.56638"
"6.30000","5.49834","427.14816"
"6.40000","5.54833","433.69894"
"6.50000","5.59827","440.16730"
"6.60000","5.64828","446.75171"
"6.70000","5.69832","453.44229"
"6.80000","5.74836","460.20746"
"6.90000","5.79838","467.06189"
"7.00000","5.84830","473.78586"
"7.10000","5.89824","480.56445"
"7.20000","5.94828","487.41922"
"7.30000","5.99837","494.24741"
"7.40000","6.04839","501.03873"
"7.50000","6.09842","507.81110"
"7.60000","6.14830","514.66400"
"7.70000","6.19819","521.50989"
"7.80000","6.24828","528.47968"
"7.90000","6.29836","535.27618"
"8.00000","6.34843","542.26691"
"8.10000","6.39841","549.22156"
"8.20000","6.44825","556.08514"
"8.30000","6.49819","562.78577"
"8.40000","6.54827","569.53387"
"8.50000","6.59845","576.41046"
"8.60000","6.64844","583.10504"
"8.70000","6.69832","589.91833"
"8.80000","6.74822","596.61005"
"8.90000","6.79825","603.19550"
"9.00000","6.84833","609.96741"
"9.10000","6.89839","616.58276"
"9.20000","6.94840","623.42145"
"9.30000","6.99837","629.89087"
"9.40000","7.04822","636.48047"
"9.50000","7.09825","643.15918"
"9.60000","7.14834","649.84729"
"9.70000","7.19839","656.43604"
"9.80000","7.24838","663.44708"
"9.90000","7.29834","670.07373"
"10.00000","7.34824","676.79163"
"10.10000","7.39826","683.65088"
"10.20000","7.44831","690.44751"
"10.30000","7.49837","697.31305"
"10.40000","7.54842","704.15826"
"10.50000","7.59834","710.88953"
"10.60000","7.64823","717.71631"
"10.70000","7.69829","724.55853"
"10.80000","7.74834","731.51562"
"10.90000","7.79839","738.45490"
"11.00000","7.84840","745.56464"
"11.10000","7.89825","752.61285"
"11.20000","7.94823","759.65802"
"11.30000","7.99830","766.71063"
"11.40000","8.04837","774.00214"
"11.50000","8.09836","781.18915"
"11.60000","8.14834","788.46429"
"11.70000","8.19833","795.60828"
"11.80000","8.24829","802.91980"
"11.90000","8.29830","810.18286"
"12.00000","8.34835","817.47461"
"12.10000","8.39839","824.77405"
"12.20000","8.44838","831.85724"
"12.30000","8.49829","838.87775"
"12.40000","8.54827","845.98010"
"12.50000","8.59832","853.20715"
"12.60000","8.64830","860.33728"
"12.70000","8.69839","867.60986"
"12.80000","8.74843","874.64203"
"12.90000","8.79828","881.73419"
"13.00000","8.84824","888.79645"
"13.10000","8.89826","895.73346"
"13.20000","8.94834","902.85016"
"13.30000","8.99847","909.80267"
"13.40000","9.04835","916.84625"
"13.50000","9.09822","923.93634"
"13.60000","9.14826","931.04382"
"13.70000","9.19830","937.85004"
"13.80000","9.24841","944.76837"
"13.90000","9.29845","951.65448"
"14.00000","9.34831","958.52075"
"14.10000","9.39822","965.40906"
"14.20000","9.44827","972.21082"
"14.30000","9.49833","979.03534"
"14.40000","9.54842","985.88104"
"14.50000","9.59841","992.77423"
"14.60000","9.64829","999.62189"
"14.60600","9.65131","1000.02576"
