Time,Extension,Load
(s),(mm),(N)
"0.00000","2.36139","21.84808"
"0.10000","2.38464","24.86948"
"0.20000","2.43578","31.60784"
"0.30000","2.48605","38.05759"
"0.40000","2.53607","44.54418"
"0.50000","2.58600","50.78447"
"0.60000","2.63599","57.21791"
"0.70000","2.68608","63.65951"
"0.80000","2.73621","70.00179"
"0.90000","2.78620","76.41199"
"1.00000","2.83606","82.66206"
"1.10000","2.88605","89.08274"
"1.20000","2.93606","95.31194"
"1.30000","2.98611","101.63573"
"1.40000","3.03622","108.05505"
"1.50000","3.08615","114.17912"
"1.60000","3.13612","120.48272"
"1.70000","3.18606","126.76826"
"1.80000","3.23606","132.90419"
"1.90000","3.28611","139.33086"
"2.00000","3.33617","145.65497"
"2.10000","3.38621","151.93388"
"2.20000","3.43614","158.27303"
"2.30000","3.48606","164.66304"
"2.40000","3.53607","171.09607"
"2.50000","3.58615","177.55537"
"2.60000","3.63620","184.06978"
"2.70000","3.68620","190.72850"
"2.80000","3.73614","197.37152"
"2.90000","3.78605","204.03075"
"3.00000","3.83603","210.71741"
"3.10000","3.88614","217.29474"
"3.20000","3.93626","223.96368"
"3.30000","3.98618","230.61668"
"3.40000","4.03605","237.18732"
"3.50000","4.08603","243.87918"
"3.60000","4.13607","250.48402"
"3.70000","4.18624","257.09207"
"3.80000","4.23621","263.62476"
"3.90000","4.28609","270.15247"
"4.00000","4.33606","276.77087"
"4.10000","4.38606","283.30023"
"4.20000","4.43614","289.78506"
"4.30000","4.48624","296.28436"
"4.40000","4.53615","302.87079"
"4.50000","4.58608","309.32635"
"4.60000","4.63608","315.89108"
"4.70000","4.68607","322.53876"
"4.80000","4.73613","329.13174"
"4.90000","4.78621","335.75067"
"5.00000","4.83614","342.44046"
"5.10000","4.88610","349.01611"
"5.20000","4.93606","355.58853"
"5.30000","4.98611","362.20096"
"5.40000","5.03616","368.81201"
"5.50000","5.08619","375.47662"
"5.60000","5.13620","381.94815"
"5.70000","5.18611","388.53928"
"5.80000","5.23605","395.21866"
"5.90000","5.28605","401.69955"
"6.00000","5.33617","408.32608"
"6.10000","5.38625","414.97565"
"6.20000","5.43615","421.63687"
"6.30000","5.48605","428.24191"
"6.40000","5.53605","434.79492"
"6.50000","5.58610","441.15622"
"6.60000","5.63616","447.75485"
"6.70000","5.68620","454.21686"
"6.80000","5.73613","460.80383"
"6.90000","5.78609","467.24713"
"7.00000","5.83605","473.96408"
"7.10000","5.88608","480.57614"
"7.20000","5.93620","487.27426"
"7.30000","5.98621","494.00223"
"7.40000","6.03615","500.68701"
"7.50000","6.08614","507.25165"
"7.60000","6.13604","514.03528"
"7.70000","6.18606","520.77911"
"7.80000","6.23616","527.52240"
"7.90000","6.28618","534.33270"
"8.00000","6.33618","541.01367"
"8.10000","6.38612","547.79639"
"8.20000","6.43603","554.57751"
"8.30000","6.48603","561.43164"
"8.40000","6.53615","568.31262"
"8.50000","6.58627","575.14526"
"8.60000","6.63617","581.81171"
"8.70000","6.68604","588.66357"
"8.80000","6.73600","595.37115"
"8.90000","6.78612","602.07922"
"9.00000","6.83624","608.85443"
"9.10000","6.88620","615.57166"
"9.20000","6.93611","622.10022"
"9.30000","6.98607","628.61877"
"9.40000","7.03602","635.18439"
"9.50000","7.08615","641.87494"
"9.60000","7.13624","648.43469"
"9.70000","7.18619","655.04248"
"9.80000","7.23609","661.66846"
"9.90000","7.28604","668.41986"
"10.00000","7.33608","675.21075"
"10.10000","7.38616","681.88507"
"10.20000","7.43617","688.64209"
"10.30000","7.48615","695.34668"
"10.40000","7.53615","702.23950"
"10.50000","7.58608","709.16302"
"10.60000","7.63608","716.00757"
"10.70000","7.68615","722.89404"
"10.80000","7.73618","729.83685"
"10.90000","7.78617","736.91217"
"11.00000","7.83610","743.95532"
"11.10000","7.88600","751.19617"
"11.20000","7.93608","758.41321"
"11.30000","7.98618","765.78772"
"11.40000","8.03622","772.89026"
"11.50000","8.08611","780.11041"
"11.60000","8.13604","787.34131"
"11.70000","8.18607","794.50610"
"11.80000","8.23613","801.77008"
"11.90000","8.28620","809.03809"
"12.00000","8.33622","816.22845"
"12.10000","8.38614","823.54108"
"12.20000","8.43609","830.69299"
"12.30000","8.48602","837.82104"
"12.40000","8.53612","844.98608"
"12.50000","8.58621","852.10577"
"12.60000","8.63613","859.15875"
"12.70000","8.68612","866.35388"
"12.80000","8.73611","873.36993"
"12.90000","8.78608","880.40570"
"13.00000","8.83611","887.67230"
"13.10000","8.88616","894.93256"
"13.20000","8.93618","901.81549"
"13.30000","8.98617","908.89746"
"13.40000","9.03606","915.78125"
"13.50000","9.08601","922.71625"
"13.60000","9.13614","929.71899"
"13.70000","9.18621","936.61139"
"13.80000","9.23622","943.48145"
"13.90000","9.28615","950.38470"
"14.00000","9.33603","957.14117"
"14.10000","9.38604","964.00787"
"14.20000","9.43611","970.78198"
"14.30000","9.48622","977.66779"
"14.40000","9.53622","984.48785"
"14.50000","9.58614","991.24841"
"14.60000","9.63602","998.00348"
"14.63100","9.65160","1000.01984"
